Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
154;30011900;SP 119;di Concei;0;2,947;Pieve di Ledro (incrocio con S.S. 240 al km 34,353);Centro abitato di Lenzumo;C
155;30011901;SP 119 dir;di Concei diramazione Bezzecca;0;0,942;Locca (incrocio con S.P. n. 119 al km 1,202);Bezzecca (incrocio con S.S. 240 al km 34,879);C
156;30012200;SP 122;di Prezzo;0;2,08;Creto (P.di Bono) S.S 237 al km 71.500;C.a. Prezzo;C
322;30012201;SP 122 dir Boniprati;di Prezzo diramazione Boniprati;0;4,55;Prezzo;Boniprati;C
157;30012300;SP 123;di Brione;0;5,738;centro abitato Condino;centro abitato Brione;C
158;30012301;SP 123 sv;di Brione svincolo Condino nord;0;4,181;Bivio sud Condino S.S 237 al km 63.350;Bivio Condino nord S.S 237 al km 65.900;C
159;30012400;SP 124;di Ton;0;4,912;S.S. 43 al km 22,400;S.P. n. 203 del Rinassico al km 2,576;C
160;30012401;SP 124 dir;di Ton diramazione Castel Thun;0;1,324;;;C
161;30012500;SP 125;Terzolas;0;2,726;Magras;Bivio S.S. n. 42;C
303;30012501;SP 125 dir;di Terzolas diramazione Samoclevo;0;0,156;;;C
162;30012600;SP 126;della Taoletta;0;4,279;bivio S.S. 48 al km  19,864;S.S. 620 km 20,536 fine S.P.;C
163;30012601;SP 126 dir;della Taoletta diramazione Cavalese;0;1,728;S.P. della Taoletta km 2,255;S.S. 48 km 23,641 fine S.P.;C
164;30012700;SP 127;di Tremalzo;0;13,016;Tiarno di Sopra loc. Passo Ampola (incrocio con S.S. 240 km 42,356);Tiarno di Sopra località Tremalzo;C
165;30013100;SP 131 1°tronco;del Vino 1° tronco (da Pressano alla S.P. 58);0;7,447;si stacca dalla S.S. 612 nel centro abitato di Lavis;intersezione con S.P. 58;C
166;30013101;SP 131 1°tronco dir Verla;del Vino 1° tronco diramazione Verla;0;5,75;;;C
