@id,@lat,@lon,name,place,destination,ele,direction_northeast,hiking,direction_south,direction_northwest,direction_southeast,hiking,ref,direction_north,source,horse,foot,bicycle
676875507,46.0310913,11.1864131,Piani di Vigo,,,,,,,,,,,,,,,
677420077,45.8891623,10.8319250,,,,,,yes,,,,yes,,,,,,
677420085,45.8889893,10.8346243,,,,,,yes,,,,yes,,,,,,
690223265,46.1541468,11.7897209,,,,,,yes,,,,yes,,,,,,
704399386,45.9181274,10.8506582,,,,,,,,,,,,,,,,
704399390,45.9173471,10.8475287,,,,,,,,,,,,,,,,
704399392,45.9179968,10.8477840,,,,,,,,,,,,,,,,
704691752,45.8656114,10.8779246,,,,,,,,,,,,,,,,
711862118,45.8382873,10.5664947,Palestra di roccia Corna del Vescov,,,,,yes,,,,yes,,,,,,
711944361,46.0962419,11.1303003,,,,,,,,,,,,,,,,
711944435,46.0964000,11.1300800,,,,,,,,,,,,,,,,
711944462,46.0993701,11.1328952,,,,,,,,,,,,,,,,
711944490,46.0996208,11.1329191,,,,775,,,,,,,,,,,,
711945433,46.0997913,11.1398258,,,,,,,,,,,,,,,,
711945436,46.0986418,11.1420880,Stoi,,,1050,,yes,,,,yes,,,,,,
